instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
60978695,238198,CRUDEOIL22MAY10000CE,CRUDEOIL,0,17-05-2022,10000,0.1,1,CE,MCX-OPT,MCX
60978951,238199,CRUDEOIL22MAY10000PE,CRUDEOIL,0,17-05-2022,10000,0.1,1,PE,MCX-OPT,MCX
61131271,238794,CRUDEOIL22MAY10500CE,CRUDEOIL,0,17-05-2022,10500,0.1,1,CE,MCX-OPT,MCX
61131527,238795,CRUDEOIL22MAY10500PE,CRUDEOIL,0,17-05-2022,10500,0.1,1,PE,MCX-OPT,MCX
60714503,237166,CRUDEOIL22MAY5000CE,CRUDEOIL,0,17-05-2022,5000,0.1,1,CE,MCX-OPT,MCX
60714759,237167,CRUDEOIL22MAY5000PE,CRUDEOIL,0,17-05-2022,5000,0.1,1,PE,MCX-OPT,MCX
60719623,237186,CRUDEOIL22MAY5500CE,CRUDEOIL,0,17-05-2022,5500,0.1,1,CE,MCX-OPT,MCX
60719879,237187,CRUDEOIL22MAY5500PE,CRUDEOIL,0,17-05-2022,5500,0.1,1,PE,MCX-OPT,MCX
60593927,236695,CRUDEOIL22MAY6000CE,CRUDEOIL,0,17-05-2022,6000,0.1,1,CE,MCX-OPT,MCX
60594183,236696,CRUDEOIL22MAY6000PE,CRUDEOIL,0,17-05-2022,6000,0.1,1,PE,MCX-OPT,MCX
60599047,236715,CRUDEOIL22MAY6500CE,CRUDEOIL,0,17-05-2022,6500,0.1,1,CE,MCX-OPT,MCX
60599303,236716,CRUDEOIL22MAY6500PE,CRUDEOIL,0,17-05-2022,6500,0.1,1,PE,MCX-OPT,MCX
60604167,236735,CRUDEOIL22MAY7000CE,CRUDEOIL,0,17-05-2022,7000,0.1,1,CE,MCX-OPT,MCX
60604423,236736,CRUDEOIL22MAY7000PE,CRUDEOIL,0,17-05-2022,7000,0.1,1,PE,MCX-OPT,MCX
60612871,236769,CRUDEOIL22MAY7500CE,CRUDEOIL,0,17-05-2022,7500,0.1,1,CE,MCX-OPT,MCX
60613127,236770,CRUDEOIL22MAY7500PE,CRUDEOIL,0,17-05-2022,7500,0.1,1,PE,MCX-OPT,MCX
60723719,237202,CRUDEOIL22MAY8000CE,CRUDEOIL,0,17-05-2022,8000,0.1,1,CE,MCX-OPT,MCX
60723975,237203,CRUDEOIL22MAY8000PE,CRUDEOIL,0,17-05-2022,8000,0.1,1,PE,MCX-OPT,MCX
60728839,237222,CRUDEOIL22MAY8500CE,CRUDEOIL,0,17-05-2022,8500,0.1,1,CE,MCX-OPT,MCX
60729095,237223,CRUDEOIL22MAY8500PE,CRUDEOIL,0,17-05-2022,8500,0.1,1,PE,MCX-OPT,MCX
60827911,237609,CRUDEOIL22MAY9000CE,CRUDEOIL,0,17-05-2022,9000,0.1,1,CE,MCX-OPT,MCX
60828167,237610,CRUDEOIL22MAY9000PE,CRUDEOIL,0,17-05-2022,9000,0.1,1,PE,MCX-OPT,MCX
60860679,237737,CRUDEOIL22MAY9500CE,CRUDEOIL,0,17-05-2022,9500,0.1,1,CE,MCX-OPT,MCX
60860935,237738,CRUDEOIL22MAY9500PE,CRUDEOIL,0,17-05-2022,9500,0.1,1,PE,MCX-OPT,MCX
